Category: All categories

Week,NASDAQ:LCID: (Worldwide)
2021-01-03,<1
2021-01-10,<1
2021-01-17,<1
2021-01-24,0
2021-01-31,<1
2021-02-07,0
2021-02-14,0
2021-02-21,1
2021-02-28,1
2021-03-07,1
2021-03-14,<1
2021-03-21,<1
2021-03-28,1
2021-04-04,<1
2021-04-11,<1
2021-04-18,<1
2021-04-25,<1
2021-05-02,0
2021-05-09,1
2021-05-16,1
2021-05-23,1
2021-05-30,1
2021-06-06,1
2021-06-13,1
2021-06-20,<1
2021-06-27,<1
2021-07-04,1
2021-07-11,1
2021-07-18,2
2021-07-25,61
2021-08-01,28
2021-08-08,29
2021-08-15,23
2021-08-22,20
2021-08-29,40
2021-09-05,22
2021-09-12,39
2021-09-19,62
2021-09-26,52
2021-10-03,29
2021-10-10,28
2021-10-17,25
2021-10-24,67
2021-10-31,62
2021-11-07,67
2021-11-14,100
2021-11-21,45
2021-11-28,48
2021-12-05,57
2021-12-12,46
2021-12-19,35
2021-12-26,27
